Date,Open,High,Low,Close,Adj Close,Volume
2024-04-19,319.579987,322.829987,315.000000,319.489990,318.327332,223900
2024-04-22,319.070007,321.640015,315.380005,319.540009,318.377167,159000
2024-04-23,315.989990,317.079987,312.420013,313.940002,312.797546,233200
2024-04-24,317.250000,319.769989,310.579987,313.559998,312.418915,301000
2024-04-25,295.410004,295.410004,281.220001,292.130005,291.066925,920200
2024-04-26,290.390015,298.000000,289.899994,290.619995,289.562408,488500
2024-04-29,292.040009,294.510010,290.299988,293.929993,292.860352,364000
2024-04-30,292.230011,292.920013,284.369995,284.720001,283.683868,401900
2024-05-01,284.559998,291.380005,281.320007,286.309998,285.268097,387500
2024-05-02,288.649994,291.309998,287.160004,290.720001,289.662048,281000
2024-05-03,293.299988,293.299988,288.089996,289.779999,288.725464,249200
2024-05-06,292.380005,294.329987,289.059998,292.160004,291.096802,298500
2024-05-07,290.519989,297.390015,290.519989,295.359985,294.285126,438100
2024-05-08,294.019989,297.600006,292.600006,292.809998,291.744446,275000
2024-05-09,292.660004,298.910004,292.660004,295.510010,294.434631,234000
2024-05-10,295.739990,296.769989,292.869995,293.149994,292.083191,228100
2024-05-13,293.510010,296.130005,293.459991,293.799988,292.730804,235800
2024-05-14,294.769989,295.220001,289.420013,290.649994,289.592285,399800
2024-05-15,292.119995,297.429993,292.119995,296.559998,295.480774,378800
2024-05-16,296.489990,299.790009,296.489990,298.059998,296.975342,275800
2024-05-17,298.320007,299.709991,296.589996,298.369995,297.284210,356400
2024-05-20,299.350006,303.899994,298.000000,303.309998,302.206207,331200
2024-05-21,302.630005,303.440002,298.529999,300.549988,299.456268,241900
2024-05-22,299.459991,304.049988,299.459991,302.269989,301.169983,327300
2024-05-23,301.720001,306.119995,301.019989,304.799988,304.799988,344400
2024-05-24,307.000000,307.000000,303.029999,303.799988,303.799988,329000
2024-05-28,303.649994,304.579987,298.950012,302.130005,302.130005,376400
2024-05-29,299.950012,302.200012,292.290009,292.529999,292.529999,349300
2024-05-30,293.200012,299.299988,292.299988,298.160004,298.160004,360300
2024-05-31,298.429993,301.390015,293.839996,300.779999,300.779999,687000
2024-06-03,300.750000,302.079987,296.380005,297.230011,297.230011,257000
2024-06-04,294.709991,297.290009,287.750000,288.149994,288.149994,407600
2024-06-05,288.149994,291.149994,286.480011,289.359985,289.359985,366100
2024-06-06,289.500000,291.720001,288.429993,289.440002,289.440002,222600
2024-06-07,287.589996,291.470001,285.790009,286.959991,286.959991,342200
2024-06-10,285.149994,286.250000,280.950012,284.570007,284.570007,422800
2024-06-11,282.839996,282.839996,279.380005,280.790009,280.790009,362400
2024-06-12,283.459991,284.570007,280.119995,280.929993,280.929993,310200
2024-06-13,279.559998,281.109985,277.410004,279.470001,279.470001,393400
2024-06-14,276.190002,278.380005,274.480011,277.089996,277.089996,424000
2024-06-17,277.000000,285.570007,275.709991,284.739990,284.739990,442800
2024-06-18,285.290009,286.880005,279.779999,283.190002,283.190002,373800
2024-06-20,283.059998,284.559998,279.890015,280.730011,280.730011,492400
2024-06-21,280.839996,283.779999,279.190002,281.899994,281.899994,1529500
2024-06-24,283.019989,284.950012,281.410004,282.100006,282.100006,350800
2024-06-25,282.239990,282.329987,278.390015,280.029999,280.029999,447000
2024-06-26,277.940002,282.950012,277.010010,282.720001,282.720001,349400
2024-06-27,282.709991,285.690002,279.950012,280.640015,280.640015,467700
2024-06-28,283.170013,288.489990,282.489990,285.600006,285.600006,840200
2024-07-01,286.739990,288.019989,278.779999,279.980011,279.980011,467900
2024-07-02,279.980011,283.459991,279.429993,282.839996,282.839996,395800
2024-07-03,283.149994,285.350006,281.750000,282.239990,282.239990,266600
2024-07-05,280.000000,281.679993,278.000000,280.510010,280.510010,642700
2024-07-08,280.899994,282.570007,280.320007,280.700012,280.700012,251300
2024-07-09,279.660004,281.209991,277.709991,277.899994,277.899994,314600
2024-07-10,278.450012,284.619995,278.450012,284.149994,284.149994,301400
2024-07-11,288.019989,293.820007,288.019989,292.420013,292.420013,448600
2024-07-12,296.760010,300.000000,293.399994,296.820007,296.820007,401800
2024-07-15,299.609985,304.220001,299.609985,300.440002,300.440002,354100
2024-07-16,300.429993,308.040009,300.429993,307.630005,307.630005,283900
2024-07-17,307.890015,310.390015,306.529999,308.750000,308.750000,311000
2024-07-18,307.559998,311.970001,306.089996,307.959991,307.959991,348414
